"id_noticia","fuente","titular","fecha","paises_afectados","impacto_cultivos","severidad","categoria","contenido"
"NEWS9099","Farm Journal","Nueva política agrícola en España busca mejorar sostenibilidad","2021-08-18","India|Canadá|Nueva Zelanda","todos","baja","comercio","El gobierno de España ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS1596","Meat+Poultry","Nueva política agrícola en Alemania busca mejorar sostenibilidad","2021-09-05","Francia|India|Argentina","todos","media","tecnologia","El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS8593","Bloomberg Commodities","Sequía afecta proyecciones de cosecha en Kenia","2021-09-20","Canadá|Argentina|Francia","Girasol","media","clima","Eventos climáticos extremos están afectando la producción de girasol en Kenia. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS6582","Bloomberg Commodities","Sequía afecta proyecciones de cosecha en Kenia","2021-09-23","México|España|Italia","Café","media","clima","Eventos climáticos extremos están afectando la producción de café en Kenia. Los agricultores reportan pérdidas del 35% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS2746","Farm Journal","Inundaciones devastan cultivos en la región","2021-09-27","Argentina|Canadá","Girasol","media","clima","Eventos climáticos extremos están afectando la producción de girasol en Italia. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS3507","AgriCensus","Nueva política agrícola en Estados Unidos busca mejorar sostenibilidad","2021-09-29","Canadá|Alemania","todos","alta","comercio","El gobierno de Estados Unidos ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS6052","AgriCensus","Nueva política agrícola en Brasil busca mejorar sostenibilidad","2021-10-08","Brasil|Australia","todos","alta","tecnologia","El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS2524","AgriCensus","Nueva política agrícola en Argentina busca mejorar sostenibilidad","2021-11-01","Francia|Estados Unidos","todos","baja","tecnologia","El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS2857","Bloomberg Commodities","Nueva política agrícola en Kenia busca mejorar sostenibilidad","2021-11-29","Francia","todos","alta","sanidad","El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS4478","AgriCensus","Nueva política agrícola en Francia busca mejorar sostenibilidad","2021-12-03","Kenia","todos","baja","politica","El gobierno de Francia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9993","Meat+Poultry","Ola de calor reduce rendimientos de Maíz","2021-12-22","Italia","Maíz","alta","clima","Eventos climáticos extremos están afectando la producción de maíz en India. Los agricultores reportan pérdidas del 40% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS7613","Farm Journal","Nueva política agrícola en México busca mejorar sostenibilidad","2022-01-21","Nueva Zelanda|China|Brasil","todos","media","comercio","El gobierno de México ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS6460","Reuters Agricultura","Nueva política agrícola en Rusia busca mejorar sostenibilidad","2022-02-15","Nueva Zelanda","todos","media","politica","El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS6916","Dairy Reporter","Sequía afecta proyecciones de cosecha en Estados Unidos","2022-02-24","Australia","Soja","media","clima","Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 11% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS2701","Farm Journal","Inundaciones devastan cultivos en la región","2022-03-09","Nueva Zelanda","Trigo","baja","clima","Eventos climáticos extremos están afectando la producción de trigo en China. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS9568","Meat+Poultry","Inundaciones devastan cultivos en Wheatbelt","2022-03-30","Argentina|Nueva Zelanda","Arroz","baja","clima","Eventos climáticos extremos están afectando la producción de arroz en Australia. Los agricultores reportan pérdidas del 37% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS9971","AgriCensus","Nueva política agrícola en Italia busca mejorar sostenibilidad","2022-04-28","Australia","todos","alta","sanidad","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS5795","Reuters Agricultura","Nueva política agrícola en India busca mejorar sostenibilidad","2022-05-06","Alemania|India|México","todos","alta","tecnologia","El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS3042","Bloomberg Commodities","Nueva política agrícola en Kenia busca mejorar sostenibilidad","2022-05-18","China|Rusia|India","todos","media","tecnologia","El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS7644","World Grain","Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad","2022-06-10","Argentina|Brasil","todos","alta","politica","El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS4020","Bloomberg Commodities","Nueva política agrícola en China busca mejorar sostenibilidad","2022-06-29","Kenia","todos","alta","comercio","El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS1658","Dairy Reporter","Nueva política agrícola en Brasil busca mejorar sostenibilidad","2022-07-26","Estados Unidos","todos","alta","sanidad","El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS7467","Bloomberg Commodities","Nueva política agrícola en Argentina busca mejorar sostenibilidad","2022-08-03","Nueva Zelanda","todos","alta","comercio","El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS4443","Bloomberg Commodities","Nueva política agrícola en Brasil busca mejorar sostenibilidad","2022-08-08","Nueva Zelanda","todos","alta","politica","El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS4380","Reuters Agricultura","Nueva política agrícola en Argentina busca mejorar sostenibilidad","2022-08-31","Francia","todos","media","comercio","El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9501","Bloomberg Commodities","España aumenta exportaciones de arroz","2022-09-15","Alemania|Nueva Zelanda","arroz","media","mercado","El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 3% en el último mes. España se posiciona como un actor clave en este mercado."
"NEWS6786","AgriCensus","Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad","2022-10-07","Estados Unidos|India|Alemania","todos","baja","tecnologia","El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9010","Meat+Poultry","Nueva política agrícola en Canadá busca mejorar sostenibilidad","2022-10-14","Australia","todos","alta","comercio","El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS8516","World Grain","Heladas tardías dañan frutales en China","2022-10-23","España","Maíz","baja","clima","Eventos climáticos extremos están afectando la producción de maíz en China. Los agricultores reportan pérdidas del 15% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales."
"NEWS1225","AgriCensus","Demanda china impulsa mercado de maíz","2022-11-09","Estados Unidos|Alemania","maíz","media","mercado","El mercado internacional de maíz muestra una tendencia bajando. Los precios han bajando un 11% en el último mes. Alemania se posiciona como un actor clave en este mercado."
"NEWS4675","Meat+Poultry","Nueva política agrícola en Brasil busca mejorar sostenibilidad","2022-11-25","Francia|China","todos","alta","sanidad","El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS3628","Bloomberg Commodities","Nueva política agrícola en Canadá busca mejorar sostenibilidad","2022-12-10","Alemania|China","todos","media","comercio","El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS4840","Bloomberg Commodities","Nueva política agrícola en Rusia busca mejorar sostenibilidad","2022-12-26","Italia","todos","baja","tecnologia","El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS5385","World Grain","Nueva política agrícola en India busca mejorar sostenibilidad","2023-01-16","Nueva Zelanda|Estados Unidos|Brasil","todos","alta","tecnologia","El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9462","AgriCensus","Nueva política agrícola en China busca mejorar sostenibilidad","2023-02-09","China","todos","alta","sanidad","El gobierno de China ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS2755","AgriCensus","Nueva política agrícola en Alemania busca mejorar sostenibilidad","2023-03-07","Kenia","todos","baja","comercio","El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS9682","AgriCensus","Nueva política agrícola en Italia busca mejorar sostenibilidad","2023-03-15","Rusia|México|Kenia","todos","baja","politica","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS1320","Bloomberg Commodities","Nueva política agrícola en Australia busca mejorar sostenibilidad","2023-04-14","Estados Unidos","todos","alta","comercio","El gobierno de Australia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS1023","Meat+Poultry","Nueva política agrícola en Italia busca mejorar sostenibilidad","2023-04-25","Kenia|Francia","todos","alta","comercio","El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS5455","Bloomberg Commodities","Demanda china impulsa mercado de arroz","2023-05-11","España|Italia","arroz","media","mercado","El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 26% en el último mes. Brasil se posiciona como un actor clave en este mercado."
"NEWS2574","Bloomberg Commodities","Nueva política agrícola en Alemania busca mejorar sostenibilidad","2023-05-30","Kenia|Rusia|Francia","todos","alta","comercio","El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS6507","World Grain","Nueva política agrícola en India busca mejorar sostenibilidad","2023-06-12","Argentina|Canadá","todos","baja","sanidad","El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente."
"NEWS2690","World Grain","México restringe importaciones de trigo","2023-06-24","Argentina|España|Brasil","trigo","media","mercado","El mercado internacional de trigo muestra una tendencia bajando. Los precios han bajando un 6% en el último mes. México se posiciona como un actor clave en este mercado."
"NEWS9987","Bloomberg Commodities","Precios de maíz alcanzan máximo histórico","2023-07-13","España|Brasil|Canadá","maíz","media","mercado","El mercado internacional de maíz muestra una tendencia subiendo. Los precios han subiendo un 9% en el último mes. Alemania se posiciona como un actor clave en este mercado."
"NEWS5201","Dairy Reporter","Precios de arroz alcanzan máximo histórico","2023-07-28","Argentina","arroz","media","mercado","El mercado internacional de arroz muestra una tendencia bajando. Los precios han bajando un 7% en el último mes. India se posiciona como un actor clave en este mercado."
